feature_name,feature_type
商业_max_power,float64
大工业用电_max_power,float64
普通工业_max_power,float64
非普工业_max_power,float64
商业_min_power,float64
大工业用电_min_power,float64
普通工业_min_power,float64
非普工业_min_power,float64
weather,object
max_temp,object
min_temp,object
day_wind,object
night_wind,object
avg_temp,object
weather_simple,object
weather_encoded,float64
day_wind_level,object
night_wind_level,object
avg_wind_level,object
day_of_week,int32
day_of_month,int32
month,int32
is_weekend,int64
is_workday,int64
day_of_week_sin,float64
day_of_week_cos,float64
month_sin,float64
month_cos,float64
temp_diff,object
is_rainy,int64
is_extreme_weather,int64
